#Blocks,Test1,Test2,Test3,Test4,Test5
1,6.029599899193272e-05,2.6753001293400303e-05,2.3669999791309237e-05,2.322199725313112e-05,3.068300065933727e-05
2,2.6631998480297625e-05,4.9701000534696504e-05,2.37280000874307e-05,2.1985000785207376e-05,2.2139000066090375e-05
4,2.621500243549235e-05,2.2976000764174387e-05,2.2431999241234735e-05,2.2035997972125188e-05,2.1842999558430165e-05
8,2.4583998310845345e-05,2.2468997485702857e-05,2.2241998522076756e-05,2.245900031994097e-05,2.1989002561895177e-05
16,4.476699905353598e-05,2.4609002139186487e-05,2.3233998945215717e-05,2.280699845869094e-05,2.2567997802980244e-05
32,2.5553999876137823e-05,2.3577002139063552e-05,2.3069998860592023e-05,2.2973003069637343e-05,2.2877000446897e-05
64,2.6510999305173755e-05,2.3936998331919312e-05,2.3363998479908332e-05,2.3494998458772898e-05,2.4086999474093318e-05
128,2.739100091275759e-05,2.5681001716293395e-05,2.5192999601131305e-05,4.860199987888336e-05,3.663000097731128e-05
256,5.7309000112582e-05,3.2918000215431675e-05,3.0712999432580546e-05,6.455900074797682e-05,7.392100087599829e-05
512,8.875999992596917e-05,8.031199831748381e-05,6.025800030329265e-05,3.8629001210210845e-05,3.7757999962195754e-05
1024,8.447800064459443e-05,7.337600254686549e-05,8.648199946037494e-05,7.194000136223622e-05,7.084200115059502e-05
2048,0.0001040700008161366,9.260300066671334e-05,0.0001289770007133484,0.00012503899779403582,0.000131662000057986
4096,0.00019251100093242712,0.00011275699944235384,0.00010876200030907057,0.0001558559997647535,0.00011188999997102655
8192,0.00023876000341260806,0.00019615400015027262,0.00018968499716720544,0.00019562400120776147,0.000221076999878278
16384,0.000546816001588013,0.0005387999990489334,0.0004323390021454543,0.00036435400033951737,0.0003504329979477916
32768,0.00075870300133829,0.0008941369997046422,0.0010129369984497316,0.0008233139997173566,0.0006851950020063668
65536,0.0013793939979223069,0.001708324001810979,0.0017756460001692176,0.001387465999869164,0.0020173060001980048
131072,0.0035164660002919845,0.003054613000131212,0.003646320001280401,0.0032175380001717713,0.0031059579996508546
262144,0.006384479002008447,0.006066472000384238,0.007584396000311244,0.006449679000070319,0.0059497590009414125
524288,0.014475877000222681,0.014890130998537643,0.014081745997827966,0.01298564400349278,0.013137251000443939
1048576,0.031622368998796446,0.02768221700171125,0.03108978399905027,0.028369276002194965,0.02817044400217128
2097152,0.05820809199940413,0.06765011999959825,0.06941564099906827,0.0620220579985471,0.0731233760016039
4194304,0.1410592979991634,0.13121468200188247,0.130077120000351,0.1278441379981814,0.12884588400265784
8388608,0.252483995998773,0.25789223600077094,0.28605486000014935,0.2638582200015662,0.2602903780025372
16777216,0.5051482320013747,0.4956155920008314,0.49746969399711816,0.49810140499903355,0.4995308389989077
33554432,0.9749436270030856,0.9763241610016848,0.9755125859992404,0.9797124569995503,0.9776462810004887
67108864,1.9464447220016154,1.9488438719999976,1.9378100350004388,1.9456587470012892,1.9840819370001554
134217728,3.9334122439977364,4.156883653002296,4.390309316997445,3.938686378998682,3.92292725399966
268435456,7.948030470000958,7.939223608998873,7.934400664998975,8.522094582996942,8.297489666001638
